OID,PLT_CN,LAT,LON,TIME_INT,30s_NAD,ai_NAD,SOC5_15NAD,SOC0_5_NAD,N5_15_NAD,N0_5_NAD
-1,20345142010500.000000000000000,29.832682999999999,-82.251530000000002,8,20.2082996,8094,110,371,270,1536
-1,218218869020000.000000000000000,30.298842000000000,-82.369461000000001,13,19.7875004,8471,157,581,300,1635
-1,218219125020000.000000000000000,30.237656000000001,-82.524225999999999,12,19.8500004,8464,169,566,312,1495
-1,20350888010500.000000000000000,29.747995000000000,-83.279839999999993,6,20.1833000,8957,176,765,1251,1729
-1,20303873010500.000000000000000,29.832536000000001,-83.248534000000006,8,20.0499992,8920,184,540,1271,2101
-1,20286440010500.000000000000000,29.434729999999998,-81.953818999999996,7,20.5958004,7803,150,497,1655,2105
-1,20330076010500.000000000000000,30.227281000000001,-83.109554000000003,7,20.1667004,8387,113,670,257,1545
-1,20330643010500.000000000000000,29.848056000000000,-83.538334000000006,7,20.2250004,8907,140,764,818,1572
-1,20330556010500.000000000000000,30.057547000000000,-83.608197000000004,6,20.0916996,8913,228,736,787,1765
-1,218218107020000.000000000000000,30.373208000000002,-85.645587000000006,12,19.3582993,9877,130,417,339,1027
-1,20294759010500.000000000000000,29.985793000000001,-84.495895000000004,6,19.9333000,9480,268,594,637,1192
-1,20296619010500.000000000000000,30.062982000000002,-85.319211999999993,6,19.7166996,10091,221,665,700,1295
-1,137163252010000.000000000000000,29.982011000000000,-85.237741999999997,5,19.7875004,10055,180,678,676,1265
-1,218218022020000.000000000000000,30.140160999999999,-85.017075000000006,12,19.7500000,9800,173,575,631,1405
-1,218218142020000.000000000000000,30.158232000000002,-84.736621999999997,12,19.6417007,9597,188,687,529,1433
-1,259178155011000.000000000000000,30.068746999999998,-84.951363000000001,10,19.7875004,9687,184,693,585,1268
-1,176860816011000.000000000000000,30.111492999999999,-84.589654999999993,8,19.7332993,9561,139,639,562,1320
-1,20339500010500.000000000000000,26.864155000000000,-81.802869999999999,7,23.0375004,7147,697,668,902,1261
-1,20267247010500.000000000000000,29.989356999999998,-83.358007999999998,7,19.9375000,8933,185,616,966,1571
-1,20279564010500.000000000000000,29.776254999999999,-81.659085000000005,8,20.5625000,7712,216,553,617,1569
-1,289515527490000.000000000000000,30.134263000000001,-83.451548000000003,11,19.8792000,8901,173,527,265,1770
-1,20309234010500.000000000000000,30.235983000000001,-85.386022999999994,6,19.3875008,9986,183,574,600,1301
-1,289515122490000.000000000000000,30.410789999999999,-85.350144999999998,13,19.2999992,9760,146,676,385,1073
-1,289515053490000.000000000000000,29.781724000000001,-84.839391000000006,13,20.1958008,9245,247,639,550,1345
-1,20322289010500.000000000000000,29.923214999999999,-85.337871000000007,5,20.0125008,9839,186,672,647,1319
-1,43854384020000.000000000000000,30.024092000000000,-84.927744000000004,9,19.8250008,9648,145,622,620,1145
-1,289515848490000.000000000000000,26.976192000000001,-82.269991000000005,11,22.8750000,7013,688,704,1068,1472
-1,374861409490000.000000000000000,29.342185000000001,-82.946217000000004,11,20.5625000,8922,178,693,1383,2020
-1,249673708011000.000000000000000,30.304966000000000,-82.878763000000006,6,20.0083008,8395,139,306,265,1686
-1,249673712011000.000000000000000,30.293482000000001,-83.038891000000007,6,20.1375008,8322,88,282,178,1161
-1,374861698490000.000000000000000,30.201872000000002,-82.901961999999997,13,19.9792004,8547,144,296,193,1156
-1,374861101490000.000000000000000,30.502683999999999,-85.398235999999997,13,19.1417007,9750,114,573,197,986
-1,249673463011000.000000000000000,30.420348000000001,-85.572496000000001,7,19.3833008,9785,182,760,514,1107
-1,249673611011000.000000000000000,30.217621000000001,-84.069779999999994,7,19.6667004,9287,136,665,516,1297
-1,374861230490000.000000000000000,28.353047000000000,-81.811414999999997,12,21.9125004,7189,307,547,1348,1792
-1,90828118010500.000000000000000,30.295607000000000,-83.419014000000004,6,19.6875000,8670,205,664,524,1411
-1,259178120011000.000000000000000,30.064243000000001,-85.388407000000001,8,19.8083000,10040,257,686,602,1275
-1,259178850011000.000000000000000,26.878382999999999,-81.705752000000004,8,22.8332996,7190,676,652,1159,1503
-1,259178788011000.000000000000000,26.805475999999999,-82.022032999999993,5,23.0708008,7020,371,343,759,1250
-1,43854984020000.000000000000000,29.864601000000000,-81.705220999999995,6,20.4207993,7873,131,263,375,1193
-1,43854832020000.000000000000000,30.268712000000001,-83.420286000000004,6,19.6958008,8716,205,590,313,1387
-1,43854743020000.000000000000000,29.330079000000001,-82.031323999999998,6,20.7082996,7840,315,617,1786,2269
-1,43854745020000.000000000000000,29.177308000000000,-81.957027999999994,6,20.7917004,7742,222,506,1849,2145
-1,43854459020000.000000000000000,30.304911000000001,-85.841224999999994,6,19.4500008,9939,291,703,595,1204
-1,43854490020000.000000000000000,30.413242000000000,-85.802857000000003,6,19.2292004,9954,144,508,428,1232
-1,43854437020000.000000000000000,29.806525000000001,-84.748165000000000,6,20.0583000,9265,328,667,708,1188
-1,218218877020000.000000000000000,30.142880999999999,-82.114692000000005,7,19.9792004,8356,125,592,577,1715
-1,218218333020000.000000000000000,29.918626000000000,-81.786153999999996,5,20.3458004,7905,209,655,723,1537
-1,218219294020000.000000000000000,29.545694999999998,-83.072685000000007,6,20.2292004,9010,142,624,1330,1939
-1,218218844020000.000000000000000,30.158415000000002,-83.295489000000003,6,20.0042000,8673,139,471,194,1602
-1,218218445020000.000000000000000,30.073865000000001,-83.310940000000002,5,19.8624992,8905,226,432,292,1189
-1,218218749020000.000000000000000,29.042864000000002,-81.836044000000001,5,21.0207996,7642,272,566,1794,2107
-1,218218650020000.000000000000000,30.221518000000000,-82.962715000000003,6,20.1166992,8409,125,303,190,1754
-1,218218475020000.000000000000000,30.228712999999999,-83.401394999999994,7,19.7500000,8774,273,940,510,1624
-1,218218048020000.000000000000000,30.138660000000002,-85.447903999999994,5,19.6749992,9956,136,688,683,1478
-1,218219313020000.000000000000000,30.206308000000000,-85.439308999999994,5,19.4750004,10001,147,644,666,1453
-1,218218132020000.000000000000000,29.784557000000000,-84.671113000000005,6,-9999.0000000,-9999,-9999,-9999,-9999,-9999
-1,218218058020000.000000000000000,29.968183000000000,-84.789075999999994,6,19.8416996,9538,227,707,699,1377
-1,218218371020000.000000000000000,28.526948999999998,-82.024668000000005,5,21.6082993,7430,221,506,1860,2291
-1,218218423020000.000000000000000,26.857019999999999,-81.659094999999994,5,22.8208008,7209,467,492,963,1452
-1,289515959490000.000000000000000,30.248439999999999,-82.233092999999997,6,19.9249992,8374,112,484,650,1729
-1,289515364490000.000000000000000,29.957044000000000,-82.031996000000007,5,20.2374992,8192,140,353,425,1749
-1,289515544490000.000000000000000,29.712765000000001,-83.287971999999996,6,20.1457996,8987,146,773,1211,2015
-1,289515770490000.000000000000000,29.635033000000000,-82.740916999999996,5,20.4125004,8780,148,392,1122,1824
-1,289515740490000.000000000000000,29.936876000000002,-83.026332999999994,6,20.1417007,8685,188,577,770,1721
-1,289515040490000.000000000000000,29.995211000000001,-85.454383000000007,6,19.9333000,10032,212,618,530,1202
-1,289515155490000.000000000000000,29.907737999999998,-84.544539999999998,6,19.9500008,9426,316,485,586,1268
-1,289515089490000.000000000000000,30.127168999999999,-85.250613000000001,7,19.6958008,10180,289,747,752,1372
-1,289515496490000.000000000000000,30.251576000000000,-83.926927000000006,5,19.5958004,9143,167,725,580,1588
-1,289515150490000.000000000000000,30.175270000000001,-84.695749000000006,6,19.6833000,9543,157,617,560,1364
-1,289514953490000.000000000000000,30.238201000000000,-84.519750999999999,6,19.5333004,9676,171,598,407,1545
-1,289515285490000.000000000000000,28.225528000000001,-81.660557999999995,5,22.1082993,7112,349,592,831,1450
-1,289516160490000.000000000000000,26.900639999999999,-81.762237999999996,5,22.8957996,7159,904,662,906,1332
-1,289515622490000.000000000000000,26.728432999999999,-81.657791000000003,6,23.0375004,7309,368,441,604,1069
-1,374862327490000.000000000000000,30.277381999999999,-82.378478999999999,6,19.7957993,8498,151,583,350,1551
-1,374861330490000.000000000000000,30.266891000000001,-81.892246000000000,7,20.2124996,8227,147,513,569,1671
-1,374861704490000.000000000000000,29.960836000000000,-83.012264999999999,6,20.2042007,8631,161,434,699,1797
-1,374861593490000.000000000000000,29.726061000000001,-81.798940000000002,5,20.3833008,7852,118,392,513,1710
-1,374861539490000.000000000000000,30.211710000000000,-83.796138999999997,5,19.7250004,8997,206,848,557,1729
-1,374861537490000.000000000000000,30.216548000000000,-83.645514000000006,5,19.7707996,8912,148,718,419,1644
-1,374860967490000.000000000000000,30.190867999999998,-85.657624999999996,6,20.0042000,9725,-9999,-9999,-9999,-9999
-1,374861087490000.000000000000000,30.350093999999999,-85.737042000000002,6,19.3374996,9844,174,507,357,1117
-1,374860905490000.000000000000000,30.506139999999998,-85.289595000000006,6,19.1917000,9566,148,346,199,839
-1,374861024490000.000000000000000,30.271028999999999,-85.347551999999993,6,19.3292007,10001,187,563,661,1370
-1,374861028490000.000000000000000,29.883184000000000,-84.751176000000001,7,20.0000000,9343,328,855,691,1342
-1,374861004490000.000000000000000,29.905882999999999,-84.343006000000003,7,20.2042007,9321,348,463,481,915
-1,374861465490000.000000000000000,30.297001999999999,-84.043100999999993,5,19.5207996,9297,174,686,566,1334
-1,374861466490000.000000000000000,30.207491999999998,-83.937725999999998,5,19.6707993,9165,233,340,424,1112
-1,374862329490000.000000000000000,30.118449999999999,-84.882081999999997,7,19.6749992,9659,174,552,568,1337
-1,374861218490000.000000000000000,27.637239000000001,-82.312047000000007,7,22.4958000,7219,489,509,1168,1711
-1,374861814490000.000000000000000,27.018761999999999,-82.263467000000006,5,22.8750000,7061,805,908,1400,1550
-1,374862140490000.000000000000000,26.869890999999999,-81.759364000000005,5,22.9666996,7178,490,592,835,1307
-1,374861792490000.000000000000000,26.840036000000001,-81.886267000000004,6,23.0916996,7100,512,536,1233,1522
-1,374862139490000.000000000000000,26.932630000000000,-81.706852999999995,6,22.7791996,7177,1013,777,1004,1461
-1,218218561020000.000000000000000,29.742877000000000,-81.444165999999996,14,20.7458000,7518,392,760,978,1598
-1,20290570010500.000000000000000,28.252987000000001,-81.122303000000002,7,22.1166992,7121,1304,1048,1500,1615
-1,218218259020000.000000000000000,27.736602000000001,-81.612071000000000,13,22.3458004,7046,507,581,1140,1582
-1,218218424020000.000000000000000,26.642424999999999,-81.609651999999997,11,23.2458000,7285,294,289,674,1061
-1,289515521490000.000000000000000,29.219774000000001,-81.159858999999997,12,21.0667000,7658,284,579,1229,1471
-1,20264459010500.000000000000000,27.181201000000001,-81.278812000000002,7,22.5541992,6861,545,681,1434,1405
-1,289515448490000.000000000000000,27.203068999999999,-81.499848999999998,12,22.5249996,6914,565,552,1015,1362
-1,289516018490000.000000000000000,27.727747000000001,-80.448391000000001,13,22.6833000,7189,535,473,1213,1196
-1,289516016490000.000000000000000,27.756278999999999,-80.606558000000007,13,22.5708008,7080,530,439,1029,1181
-1,289515648490000.000000000000000,26.264118000000000,-81.577500000000001,11,23.3875008,7332,568,623,730,1074
-1,20268734010500.000000000000000,26.653727000000000,-81.587378999999999,5,23.2042007,7294,222,284,644,1097
-1,289516091490000.000000000000000,26.862977999999998,-80.226781000000003,11,23.3500004,7959,627,809,2305,2452
-1,374861821490000.000000000000000,29.494833000000000,-81.286877000000004,12,20.8875008,7682,540,531,790,1348
-1,374862273490000.000000000000000,27.001145999999999,-80.286145000000005,11,23.2292004,7770,962,972,2305,2397
-1,259178933011000.000000000000000,27.731470999999999,-81.247735000000006,6,22.3957996,6958,546,607,963,1460
-1,259179230011000.000000000000000,27.320184999999999,-80.282426999999998,7,23.2250004,7442,762,701,1455,1491
-1,259178913011000.000000000000000,27.018843000000000,-81.502489999999995,7,22.6166992,7073,866,1030,1200,1466
-1,259179239011000.000000000000000,26.994392999999999,-80.138088999999994,7,23.3999996,7774,745,800,1643,1778
-1,90802139010500.000000000000000,26.928367999999999,-80.282480000000007,5,23.2416992,7797,1152,1108,2455,2561
-1,90802279010500.000000000000000,26.928550000000001,-80.426209999999998,5,23.0832996,7625,1198,1147,2381,2515
-1,43855051020000.000000000000000,27.758991999999999,-81.350254000000007,6,22.3750000,6966,413,540,1241,1511
-1,43855421020000.000000000000000,25.407654999999998,-80.697137999999995,5,24.1958008,7288,1353,1424,1233,1571
-1,43855444020000.000000000000000,26.815601000000001,-81.286040000000000,5,22.8332996,6978,473,378,965,1367
-1,218218775020000.000000000000000,29.267118000000000,-81.301170999999997,7,21.0000000,7791,352,702,1659,1832
-1,218219249020000.000000000000000,28.804165000000001,-81.061537000000001,5,21.6166992,7460,571,734,1956,1977
-1,218218273020000.000000000000000,28.961841000000000,-81.156921999999994,5,21.3416996,7566,407,773,1693,1721
-1,218218534020000.000000000000000,29.111252000000000,-81.215087999999994,5,21.0874996,7809,530,798,1535,1710
-1,218219000020000.000000000000000,27.861066999999998,-80.600896000000006,5,22.4874992,7008,372,449,1550,1792
-1,218218579020000.000000000000000,28.421513999999998,-81.645919000000006,5,22.0375004,6981,258,243,868,1426
-1,218218745020000.000000000000000,27.725235000000001,-81.334889000000004,6,22.3332996,7007,654,611,1254,1442
-1,218219304020000.000000000000000,26.463678999999999,-81.651807000000005,6,23.2791996,7363,308,377,611,1194
-1,218219193020000.000000000000000,26.911895999999999,-80.233362000000000,5,23.3167000,7913,-9999,-9999,-9999,-9999
-1,289515518490000.000000000000000,29.454170999999999,-81.186143000000001,5,21.0375004,7548,306,554,1361,1554
-1,289516015490000.000000000000000,27.901477000000000,-80.529478999999995,5,22.5207996,6884,293,298,1159,1189
-1,289515686490000.000000000000000,27.668472999999999,-81.190579000000000,6,22.3957996,6937,599,841,1460,1820
-1,289515482490000.000000000000000,26.328544999999998,-81.533797000000007,5,23.4083004,7320,321,350,554,1049
-1,289516199490000.000000000000000,25.382515999999999,-80.768006000000000,6,24.2707996,7080,991,1120,1211,1539
-1,374861941490000.000000000000000,30.267697999999999,-81.444261999999995,7,20.7791996,7538,476,824,713,1347
-1,374861578490000.000000000000000,30.271526000000001,-81.596615999999997,7,20.8582993,7737,-9999,-9999,-9999,-9999
-1,374861279490000.000000000000000,28.787191000000000,-80.997772999999995,7,21.5874996,7542,627,646,1940,1906
-1,374861271490000.000000000000000,29.239795000000001,-81.103876999999997,7,21.2542000,7479,353,499,1403,1509
-1,374862153490000.000000000000000,27.531817000000000,-80.762445000000000,6,22.4750004,7100,438,699,1191,1559
-1,374861445490000.000000000000000,28.401938000000001,-81.177486000000002,5,22.0207996,7205,621,478,1479,1856
-1,374861453490000.000000000000000,26.572220999999999,-81.575997999999998,6,23.3125000,7236,353,376,539,1112
-1,374861096490000.000000000000000,30.654508000000000,-85.221024999999997,13,19.2166996,9206,136,515,184,551
-1,374861141490000.000000000000000,30.548102000000000,-86.803190000000001,11,19.5291996,10068,228,714,292,670
-1,374861711490000.000000000000000,30.884353000000001,-86.306180999999995,11,18.6499996,10017,168,555,235,461
-1,218218864020000.000000000000000,30.533783000000000,-82.252103000000005,6,19.7749996,8401,144,598,328,1545
-1,289515947490000.000000000000000,30.567730999999998,-82.378916000000004,6,19.7292004,8337,150,497,244,1566
-1,374861676490000.000000000000000,30.604443000000000,-82.912796000000000,6,19.4666996,8335,136,589,228,1470