"","X","OID","PLT_CN","LAT","LON","TIME_INT","wc2_1_30s_","ai_et0_NAD","SOC0_5_NAD","SOC5_15NAD","N5_15_NAD","N0_5_NAD","SOILGRIDS_C_AVG","SOILGRIDS_N_AVG","SOILGRIDS_CN","SOILGRIDS_CN_SCALE","aridity","TPA_start","TPA_end","Plot","species"
"1",1,-1,20345142010500,29.832683,-82.25153,8,20.2082996,8094,371,110,270,1536,19.7,6.92,2.84682080924856,42.318450867052,0.8094,375,537,"Calibration","Slash"
"2",2,-1,218218869020000,30.298842,-82.369461,13,19.7875004,8471,581,157,300,1635,29.8333333333333,7.45,4.00447427293065,49.5097941834452,0.8471,477,165,NA,"Slash"
"3",3,-1,218219125020000,30.237656,-82.524226,12,19.8500004,8464,566,169,312,1495,30.1333333333333,7.06333333333333,4.26616328456819,51.1354063237376,0.8464,531,393,NA,"Slash"
"4",4,-1,20350888010500,29.747995,-83.27984,6,20.1833,8957,765,176,1251,1729,37.2333333333333,14.1033333333333,2.64003781611912,41.033914913732,0.8957,318,474,"Validation","Slash"
"5",5,-1,20303873010500,29.832536,-83.248534,8,20.0499992,8920,540,184,1271,2101,30.2666666666667,15.4766666666667,1.95563213439586,36.7823868188671,0.892,690,795,"Validation","Slash"
"6",6,-1,20286440010500,29.43473,-81.953819,7,20.5958004,7803,497,150,1655,2105,26.5666666666667,18.05,1.47183748845799,33.777054478301,0.7803,393,369,NA,"Slash"
"7",7,-1,20330076010500,30.227281,-83.109554,7,20.1667004,8387,670,113,257,1545,29.8666666666667,6.86333333333333,4.35162700339971,51.666306945119,0.8387,600,162,NA,"Slash"
"8",8,-1,20330643010500,29.848056,-83.538334,7,20.2250004,8907,764,140,818,1572,34.8,10.6933333333333,3.25436408977556,44.8501097256858,0.8907,288,552,"Validation","Slash"
"9",9,-1,20330556010500,30.057547,-83.608197,6,20.0916996,8913,736,228,787,1765,39.7333333333333,11.13,3.56993111710093,46.810412099431,0.8913,750,627,NA,"Slash"
"10",10,-1,218218107020000,30.373208,-85.645587,12,19.3582993,9877,417,130,339,1027,22.5666666666667,5.68333333333333,3.97067448680352,49.2998299120235,0.9877,648,489,NA,"Slash"
"11",11,-1,20294759010500,29.985793,-84.495895,6,19.9333,9480,594,268,637,1192,37.6666666666667,8.22,4.5823195458232,53.0993690186537,0.948,285,312,"Validation","Slash"
"12",12,-1,20296619010500,30.062982,-85.319212,6,19.7166996,10091,665,221,700,1295,36.9,8.98333333333333,4.10760667903525,50.150452690167,1.0091,300,249,NA,"Slash"
"13",13,-1,137163252010000,29.982011,-85.237742,5,19.7875004,10055,678,180,676,1265,34.6,8.72333333333333,3.96637371035537,49.2731134887275,1.0055,390,399,"Validation","Slash"
"14",14,-1,218218022020000,30.140161,-85.017075,12,19.75,9800,575,173,631,1405,30.7,8.89,3.4533183352081,46.0860134983127,0.98,636,732,"Calibration","Slash"
"15",15,-1,218218142020000,30.158232,-84.736622,12,19.6417007,9597,687,188,529,1433,35.4333333333333,8.30333333333333,4.26736250501807,51.1428558811722,0.9597,66,60,NA,"Slash"
"16",16,-1,259178155011000,30.068747,-84.951363,10,19.7875004,9687,693,184,585,1268,35.3666666666667,8.12666666666667,4.35192780968007,51.6681755537326,0.9687,72,66,NA,"Slash"
"17",17,-1,176860816011000,30.111493,-84.589655,8,19.7332993,9561,639,139,562,1320,30.5666666666667,8.14666666666667,3.75204582651391,47.9417086743044,0.9561,159,96,NA,"Slash"
"18",18,-1,20339500010500,26.864155,-81.80287,7,23.0375004,7147,668,697,902,1261,68.7333333333333,10.2166666666667,6.72756933115824,66.425660685155,0.7147,366,348,NA,"Slash"
"19",19,-1,20267247010500,29.989357,-83.358008,7,19.9375,8933,616,185,966,1571,32.8666666666667,11.6766666666667,2.81473023123037,42.1191041964031,NA,NA,NA,NA,"Slash"
"20",20,-1,20279564010500,29.776255,-81.659085,8,20.5625,7712,553,216,617,1569,32.8333333333333,9.34333333333333,3.51409204423832,46.4635397788084,0.7712,111,210,"Calibration","Slash"
"21",21,-1,289515527490000,30.134263,-83.451548,11,19.8792,8901,527,173,265,1770,29.1,7.66666666666667,3.79565217391304,48.2125913043478,0.8901,180,162,NA,"Slash"
"22",22,-1,20309234010500,30.235983,-85.386023,6,19.3875008,9986,574,183,600,1301,31.3333333333333,8.33666666666667,3.75849660135946,47.9817808876449,NA,NA,NA,NA,"Slash"
"23",23,-1,289515122490000,30.41079,-85.350145,13,19.2999992,9760,676,146,385,1073,32.2666666666667,6.14333333333333,5.25230602278893,57.2613250135648,0.976,105,36,NA,"Slash"
"24",24,-1,289515053490000,29.781724,-84.839391,13,20.1958008,9245,639,247,550,1345,37.7666666666667,8.15,4.63394683026585,53.4200777096115,0.9245,279,405,"Calibration","Slash"
"25",25,-1,20322289010500,29.923215,-85.337871,5,20.0125008,9839,672,186,647,1319,34.8,8.71,3.99540757749713,49.4534718714122,0.9839,111,147,"Validation","Slash"
"26",26,-1,43854384020000,30.024092,-84.927744,9,19.8250008,9648,622,145,620,1145,30.4,7.95,3.82389937106918,48.3880628930818,0.9648,93,228,"Validation","Slash"
"27",27,-1,289515848490000,26.976192,-82.269991,11,22.875,7013,704,688,1068,1472,69.3333333333333,12.0266666666667,5.7649667405765,60.4459733924612,0.7013,642,537,NA,"Slash"
"28",28,-1,374861409490000,29.342185,-82.946217,11,20.5625,8922,693,178,1383,2020,34.9666666666667,15.9533333333333,2.19180944421229,38.2495202674467,0.8922,6,18,"Calibration","Slash"
"29",29,-1,249673708011000,30.304966,-82.878763,6,20.0083008,8395,306,139,265,1686,19.4666666666667,7.38666666666667,2.63537906137184,41.0049747292419,0.8395,261,186,NA,"Slash"
"30",30,-1,249673712011000,30.293482,-83.038891,6,20.1375008,8322,282,88,178,1161,15.2666666666667,5.05666666666667,3.01911667765326,43.3887528015821,0.8322,687,900,"Calibration","Slash"
"31",31,-1,374861698490000,30.201872,-82.901962,13,19.9792004,8547,296,144,193,1156,19.4666666666667,5.14,3.78728923476005,48.1606407263294,0.8547,150,288,"Validation","Slash"
"32",32,-1,374861101490000,30.502684,-85.398236,13,19.1417007,9750,573,114,197,986,26.7,4.6,5.80434782608696,60.6906086956522,0.975,18,18,"Validation","Slash"
"33",33,-1,249673463011000,30.420348,-85.572496,7,19.3833008,9785,760,182,514,1107,37.4666666666667,7.11666666666667,5.26463700234192,57.337925058548,NA,NA,NA,NA,"Slash"
"34",34,-1,249673611011000,30.217621,-84.06978,7,19.6667004,9287,665,136,516,1297,31.2333333333333,7.76333333333333,4.02318591670245,49.6260309145556,0.9287,12,111,"Validation","Slash"
"35",35,-1,374861230490000,28.353047,-81.811415,12,21.9125004,7189,547,307,1348,1792,38.7,14.96,2.58689839572193,40.7038128342246,0.7189,24,18,NA,"Slash"
"36",36,-1,90828118010500,30.295607,-83.419014,6,19.6875,8670,664,205,524,1411,35.8,8.19666666666667,4.36762911752745,51.7657120780805,0.867,12,12,"Validation","Slash"
"37",37,-1,259178120011000,30.064243,-85.388407,8,19.8083,10040,686,257,602,1275,40,8.26333333333333,4.84066155707947,54.7041895925777,1.004,315,84,NA,"Slash"
"38",38,-1,259178850011000,26.878383,-81.705752,8,22.8332996,7190,652,676,1159,1503,66.8,12.7366666666667,5.24470034022507,57.2140785134781,0.719,30,30,"Calibration","Slash"
"39",39,-1,259178788011000,26.805476,-82.022033,5,23.0708008,7020,343,371,759,1250,36.1666666666667,9.22666666666667,3.91979768786127,48.9837832369942,0.702,12,66,"Calibration","Slash"
"40",40,-1,43854984020000,29.864601,-81.705221,6,20.4207993,7873,263,131,375,1193,17.5,6.47666666666667,2.70200720535255,41.41886875965,0.7873,165,186,"Validation","Slash"
"41",41,-1,43854832020000,30.268712,-83.420286,6,19.6958008,8716,590,205,313,1387,33.3333333333333,6.71,4.96770988574267,55.4934138102335,0.8716,525,42,NA,"Slash"
"42",42,-1,43854743020000,29.330079,-82.031324,6,20.7082996,7840,617,315,1786,2269,41.5666666666667,19.47,2.13490840609485,37.8960510186612,0.784,348,240,NA,"Slash"
"43",43,-1,43854745020000,29.177308,-81.957028,6,20.7917004,7742,506,222,1849,2145,31.6666666666667,19.4766666666667,1.62587711791888,34.7339486565121,0.7742,150,120,NA,"Slash"
"44",44,-1,43854459020000,30.304911,-85.841225,6,19.4500008,9939,703,291,595,1204,42.8333333333333,7.98,5.36758563074353,57.9774419381788,0.9939,315,450,"Calibration","Slash"
"45",45,-1,43854490020000,30.413242,-85.802857,6,19.2292004,9954,508,144,428,1232,26.5333333333333,6.96,3.81226053639847,48.3157624521073,0.9954,87,174,"Calibration","Slash"
"46",46,-1,43854437020000,29.806525,-84.748165,6,20.0583,9265,667,328,708,1188,44.1,8.68,5.08064516129032,56.1949677419355,0.9265,435,513,"Calibration","Slash"
"47",47,-1,218218877020000,30.142881,-82.114692,7,19.9792004,8356,592,125,577,1715,28.0666666666667,9.56333333333333,2.93482049494597,42.8651049146044,0.8356,225,198,NA,"Slash"
"48",48,-1,218218333020000,29.918626,-81.786154,5,20.3458004,7905,655,209,723,1537,35.7666666666667,9.94333333333333,3.59704994971505,46.9788742876299,0.7905,1119,954,NA,"Slash"
"49",49,-1,218219294020000,29.545695,-83.072685,6,20.2292004,9010,624,142,1330,1939,30.2666666666667,15.33,1.97434224831485,36.8986140465319,0.901,36,36,"Validation","Slash"
"50",50,-1,218218844020000,30.158415,-83.295489,6,20.0042,8673,471,139,194,1602,24.9666666666667,6.63333333333333,3.76381909547739,48.0148442211055,0.8673,186,129,NA,"Slash"
"51",51,-1,218218445020000,30.073865,-83.31094,5,19.8624992,8905,432,226,292,1189,29.4666666666667,5.91,4.98589960518895,55.6064083474337,0.8905,120,108,NA,"Slash"
"52",52,-1,218218749020000,29.042864,-81.836044,5,21.0207996,7642,566,272,1794,2107,37,18.9833333333333,1.94907813871817,36.7416733977173,0.7642,237,162,NA,"Slash"
"53",53,-1,218218650020000,30.221518,-82.962715,6,20.1166992,8409,303,125,190,1754,18.4333333333333,7.11333333333333,2.59137769447048,40.7316382380506,0.8409,675,882,"Validation","Slash"
"54",54,-1,218218475020000,30.228713,-83.401395,7,19.75,8774,940,273,510,1624,49.5333333333333,8.81333333333333,5.62027231467474,59.5471316187595,0.8774,168,6,NA,"Slash"
"55",55,-1,218218048020000,30.13866,-85.447904,5,19.6749992,9956,688,136,683,1478,32,9.48,3.37552742616034,45.602776371308,0.9956,1125,831,NA,"Slash"
"56",56,-1,218219313020000,30.206308,-85.439309,5,19.4750004,10001,644,147,666,1453,31.2666666666667,9.28333333333333,3.36804308797128,45.5562836624776,1.0001,30,30,"Validation","Slash"
"57",57,-1,218218132020000,29.784557,-84.671113,6,-9999,-9999,-9999,-9999,-9999,-9999,-999.9,-99.99,10,86.754,NA,NA,NA,NA,"Slash"
"58",58,-1,218218058020000,29.968183,-84.789076,6,19.8416996,9538,707,227,699,1377,38.7,9.25,4.18378378378378,50.6236648648649,0.9538,6,6,"Calibration","Slash"
"59",59,-1,218218371020000,28.526949,-82.024668,5,21.6082993,7430,506,221,1860,2291,31.6,20.0366666666667,1.57710863417069,34.4309988354683,0.743,276,285,"Validation","Slash"
"60",60,-1,218218423020000,26.85702,-81.659095,5,22.8208008,7209,492,467,963,1452,47.5333333333333,11.26,4.22143280047365,50.8575405565423,0.7209,204,147,NA,"Slash"
"61",61,-1,289515959490000,30.24844,-82.233093,6,19.9249992,8374,484,112,650,1729,23.6,10.0966666666667,2.3374050841862,39.1539603829647,0.8374,24,30,"Calibration","Slash"
"62",62,-1,289515364490000,29.957044,-82.031996,5,20.2374992,8192,353,140,425,1749,21.1,8.66333333333333,2.43555213543671,39.7636498653328,0.8192,147,147,"Calibration","Slash"
"63",63,-1,289515544490000,29.712765,-83.287972,6,20.1457996,8987,773,146,1211,2015,35.5,14.79,2.40027045300879,39.5444800540906,0.8987,300,414,"Validation","Slash"
"64",64,-1,289515770490000,29.635033,-82.740917,5,20.4125004,8780,392,148,1122,1824,22.9333333333333,13.56,1.69124877089479,35.1400373647984,0.878,6,93,"Calibration","Slash"
"65",65,-1,289515740490000,29.936876,-83.026333,6,20.1417007,8685,577,188,770,1721,31.7666666666667,10.87,2.92241643667587,42.7880509046305,0.8685,813,762,NA,"Slash"
"66",66,-1,289515040490000,29.995211,-85.454383,6,19.9333,10032,618,212,530,1202,34.7333333333333,7.54,4.60654288240495,53.2498443854996,NA,NA,NA,NA,"Slash"
"67",67,-1,289515155490000,29.907738,-84.54454,6,19.9500008,9426,485,316,586,1268,37.2333333333333,8.13333333333333,4.57786885245902,53.0717213114754,0.9426,240,261,"Validation","Slash"
"68",68,-1,289515089490000,30.127169,-85.250613,7,19.6958008,10180,747,289,752,1372,44.1666666666667,9.58666666666667,4.60709318497914,53.2532628650904,1.018,66,78,"Calibration","Slash"
"69",69,-1,289515496490000,30.251576,-83.926927,5,19.5958004,9143,725,167,580,1588,35.3,9.16,3.85371179039301,48.5732576419214,0.9143,12,12,"Validation","Slash"
"70",70,-1,289515150490000,30.17527,-84.695749,6,19.6833,9543,617,157,560,1364,31.0333333333333,8.28,3.74798711755234,47.9164959742351,0.9543,123,108,NA,"Slash"
"71",71,-1,289514953490000,30.238201,-84.519751,6,19.5333004,9676,598,171,407,1545,31.3333333333333,7.86333333333333,3.984739296312,49.3872005086901,0.9676,120,132,"Calibration","Slash"
"72",72,-1,289515285490000,28.225528,-81.660558,5,22.1082993,7112,592,349,831,1450,43,10.3733333333333,4.1452442159383,50.3842570694087,0.7112,411,549,"Validation","Slash"
"73",73,-1,289516160490000,26.90064,-81.762238,5,22.8957996,7159,662,904,906,1332,82.3333333333333,10.48,7.85623409669211,73.4369262086514,0.7159,723,555,NA,"Slash"
"74",74,-1,289515622490000,26.728433,-81.657791,6,23.0375004,7309,441,368,604,1069,39.2333333333333,7.59,5.16908212560386,56.7443381642512,0.7309,624,786,"Validation","Slash"
"75",75,-1,374862327490000,30.277382,-82.378479,6,19.7957993,8498,583,151,350,1551,29.5,7.50333333333333,3.93158596179476,49.057011994669,0.8498,24,225,"Calibration","Slash"
"76",76,-1,374861330490000,30.266891,-81.892246,7,20.2124996,8227,513,147,569,1671,26.9,9.36333333333333,2.87290850836597,42.4805076539694,0.8227,75,189,"Validation","Slash"
"77",77,-1,374861704490000,29.960836,-83.012265,6,20.2042007,8631,434,161,699,1797,25.2,10.65,2.36619718309859,39.3328169014084,0.8631,894,1005,"Calibration","Slash"
"78",78,-1,374861593490000,29.726061,-81.79894,5,20.3833008,7852,392,118,513,1710,20.9333333333333,9.12,2.2953216374269,38.8925380116959,0.7852,255,234,NA,"Slash"
"79",79,-1,374861539490000,30.21171,-83.796139,5,19.7250004,8997,848,206,557,1729,42,9.47666666666667,4.43193809356314,52.1651994372142,0.8997,552,459,NA,"Slash"
"80",80,-1,374861537490000,30.216548,-83.645514,5,19.7707996,8912,718,148,419,1644,33.8,8.27333333333333,4.08541498791297,50.0125979049154,0.8912,60,60,"Calibration","Slash"
"81",81,-1,374860967490000,30.190868,-85.657625,6,20.0042,9725,-9999,-9999,-9999,-9999,-999.9,-99.99,10,86.754,NA,NA,NA,NA,"Slash"
"82",82,-1,374861087490000,30.350094,-85.737042,6,19.3374996,9844,507,174,357,1117,28.5,6.10333333333333,4.66957946477335,53.641427635172,0.9844,321,279,NA,"Slash"
"83",83,-1,374860905490000,30.50614,-85.289595,6,19.1917,9566,346,148,199,839,21.4,4.12333333333333,5.18997574777688,56.87412934519,0.9566,138,216,"Validation","Slash"
"84",84,-1,374861024490000,30.271029,-85.347552,6,19.3292007,10001,563,187,661,1370,31.2333333333333,8.97333333333333,3.48068350668648,46.2560059435364,1.0001,540,534,NA,"Slash"
"85",85,-1,374861028490000,29.883184,-84.751176,7,20,9343,855,328,691,1342,50.3666666666667,9.08,5.54698972099853,59.0919001468429,0.9343,423,390,NA,"Slash"
"86",86,-1,374861004490000,29.905883,-84.343006,7,20.2042007,9321,463,348,481,915,38.6333333333333,6.25666666666667,6.17474693660096,62.9915279701652,0.9321,552,579,"Calibration","Slash"
"87",87,-1,374861465490000,30.297002,-84.043101,5,19.5207996,9297,686,174,566,1334,34.4666666666667,8.22,4.19302514193025,50.6810721816707,0.9297,423,528,"Calibration","Slash"
"88",88,-1,374861466490000,30.207492,-83.937726,5,19.6707993,9165,340,233,424,1112,26.8666666666667,6.53333333333333,4.11224489795918,50.1792653061224,0.9165,558,492,NA,"Slash"
"89",89,-1,374862329490000,30.11845,-84.882082,7,19.6749992,9659,552,174,568,1337,30,8.24333333333333,3.63930448847554,47.24135948241,0.9659,366,276,NA,"Slash"
