,Modeled_Diameter,Age,Tree_Density,Temperature,Aridity,Modeled_Biomass,sd.tasb,sd.dbh
1,4.995286542,40,900,18.8341007,1.063,3591.116393,106.3087709,0.07744804
2,5.00386082,40,900,18.6417999,1.0564,3569.821278,85.58738539,0.077761695
3,4.993678337,40,900,18.6450996,1.0528,3573.258148,102.9761088,0.062834312
4,5.04394754,40,900,18.5951996,1.0219,3738.411887,102.3487267,0.075622916
5,5.315313418,40,900,18.6086006,0.9805,4204.867267,135.3275363,0.098024744
6,5.048928771,40,900,19.3022995,1.0602,3710.39953,233.9865136,0.158538975
7,5.050905898,40,900,19.0063992,1.0644,3696.163008,203.7575396,0.151115095
8,4.967984233,40,900,18.9957008,1.0704,3535.589169,173.790549,0.120999355
9,5.097210953,40,900,18.9445992,1.0345,3788.069086,207.2054774,0.141935573
10,5.060838229,40,900,18.8351994,1.0431,3744.8471,157.3996897,0.10652828
11,5.172862398,40,900,18.7861004,1.0291,3890.946465,111.7424903,0.092875898
12,5.108155782,40,900,18.7957001,1.0184,3828.116565,76.25847031,0.064796754
13,5.20048418,40,900,18.7858009,1.0054,3981.867741,240.0322913,0.137687196
14,5.209391044,40,900,18.7297993,0.9989,4025.879488,114.7074309,0.085595016
15,5.402873083,40,900,18.9526997,0.9471,4466.74411,171.3915304,0.115012541
16,5.574009339,40,900,18.9806995,0.9089,4858.951114,201.7553278,0.126617291
17,5.663040668,40,900,18.9775009,0.8889,5088.986081,258.5037655,0.13910416
18,5.811449582,40,900,19.3055992,0.8656,5444.534174,164.8760938,0.089161902
19,5.845744971,40,900,19.2866001,0.8585,5506.692256,238.239424,0.112038405
20,5.856528497,40,900,19.1306992,0.8497,5544.728121,219.3130073,0.112911273
21,5.921276554,40,900,19.155899,0.8324,5734.076876,177.5987137,0.104979817
22,5.959794228,40,900,19.2350998,0.8139,5850.819674,247.8782224,0.112740372
23,6.140545445,40,900,19.3092003,0.7899,6279.355908,210.5697627,0.137970359
24,6.000662682,40,900,19.2262001,0.8104,5911.364526,245.2221341,0.165326817
25,6.008550432,40,900,19.2733994,0.8225,5915.131794,271.8902992,0.136336012
26,5.89450087,40,900,19.3535995,0.8317,5702.926129,335.3889185,0.17791656
27,5.983112736,40,900,19.6620007,0.8273,5797.572535,259.0363616,0.156973246
28,6.056163148,40,900,19.6863995,0.8168,6073.677712,278.9418651,0.148572631
29,6.040960786,40,900,19.8377991,0.8129,6018.425608,220.2927857,0.129169889
30,5.105093277,40,900,19.3579006,1.0529,3789.212956,125.6408568,0.080677524
31,5.060848837,40,900,18.9957008,1.0527,3704.271021,104.5996139,0.065274299
32,5.162675802,40,900,19.0797005,1.031,3924.263948,137.6450671,0.086428418
33,5.233424083,40,900,19.0401001,0.9992,4062.832349,141.0108158,0.090494087
34,5.174180715,40,900,18.9909,1.0196,3954.550324,167.7149856,0.124221282
35,5.162407125,40,900,19.0216999,1.0121,3973.73483,107.6179321,0.063292283
36,5.186549175,40,900,18.9542999,1.0298,3967.037879,169.1988381,0.119327705
37,5.320760423,40,900,19.1131992,0.9845,4237.162758,186.0945545,0.120687729
38,5.523453748,40,900,19.1317005,0.9256,4729.288938,169.7041222,0.110398742
39,5.637852382,40,900,19.1816006,0.9001,5013.680496,186.6701061,0.111580002
40,5.619288698,40,900,19.2229996,0.8909,5015.755575,122.0934752,0.074019676
41,5.599988515,40,900,19.1126995,0.9084,4910.984641,113.0127209,0.089769114
42,5.737726706,40,900,19.1821003,0.8788,5231.260003,180.8287491,0.108144253
43,5.872338518,40,900,19.2600002,0.8539,5540.401657,232.2012826,0.107560064
44,5.967722168,40,900,19.3407001,0.8401,5715.457331,301.3370901,0.15005862
45,6.066117177,40,900,19.3495998,0.8105,6041.769175,236.2616159,0.112280639
46,6.025054301,40,900,19.3257008,0.8195,5938.729015,251.2672625,0.109281683
47,5.961368007,40,900,19.3864002,0.8208,5830.991854,224.9023473,0.103483295
48,6.007457274,40,900,19.8288002,0.8245,5926.398488,293.3816369,0.136082823
49,6.076134566,40,900,19.8334007,0.8189,6033.791728,268.8900933,0.127243435
50,5.121684965,40,900,19.5286007,1.0563,3828.916095,144.4725056,0.096668867
51,5.148846963,40,900,19.2644005,1.036,3901.327906,107.3223138,0.068724228
52,5.319470661,40,900,19.3227005,1.0055,4228.045967,191.5973145,0.098866627
53,5.322396688,40,900,19.3638,0.989,4241.445616,169.8358524,0.103967243
54,5.24045134,40,900,19.1947994,1.0109,4085.350212,148.4656285,0.095819147
55,5.187684525,40,900,19.1683998,1.0179,3989.227211,212.1852115,0.125436971
56,5.184382108,40,900,19.2035007,1.0203,3992.742852,121.8349744,0.066797742
57,5.269962915,40,900,19.2576008,1.0017,4135.296504,236.6572284,0.166053751
58,5.291415748,40,900,19.2348003,0.9872,4180.892521,100.8424292,0.058152043
59,5.457979939,40,900,19.1777992,0.9626,4543.405427,142.1431818,0.087428282
60,5.491831971,40,900,19.0827007,0.9623,4581.560673,150.1645926,0.080438334
61,5.538623368,40,900,19.1674004,0.9212,4803.309509,277.4878232,0.182147444
62,5.833460368,40,900,19.4337006,0.8578,5481.683837,222.9944826,0.126473829
63,6.050293713,40,900,19.6711006,0.8169,6065.823349,315.548803,0.15783226
64,5.918062269,40,900,19.5589008,0.8322,5813.873902,152.0718467,0.086108146
65,5.9298493,40,900,19.5708008,0.834,5758.857104,276.9503824,0.159293882
66,5.906558237,40,900,19.6546993,0.8305,5753.458912,178.1374811,0.116551306
67,5.964353205,40,900,19.9312,0.8248,5863.379944,228.0776393,0.136272758
68,6.178073815,40,900,20.1562004,0.7981,6366.681414,249.331721,0.113142944
69,5.30643924,40,900,19.4214001,0.9974,4226.384273,179.6803967,0.134663081
70,5.278655933,40,900,19.3663006,0.9922,4212.174418,130.4765006,0.111922687
71,5.331197681,40,900,19.3829002,0.9832,4316.331154,183.5405596,0.110659065
72,5.302472497,40,900,19.3033009,0.9846,4226.734051,142.2558463,0.083106127
73,5.461702899,40,900,19.3514996,0.9472,4602.347605,124.1664075,0.064831421
74,5.477508383,40,900,19.3943996,0.9392,4658.326173,239.0643152,0.118645635
75,5.422695853,40,900,19.5386009,0.9711,4461.284773,101.9280925,0.0600221
76,5.509228017,40,900,19.7119007,0.9588,4623.383064,231.6501034,0.136369446
77,5.693915381,40,900,19.4382992,0.9003,5103.082105,230.5082018,0.114715109
78,5.797643295,40,900,19.5063992,0.8758,5347.064231,164.114982,0.093122235
79,5.962643237,40,900,19.8446007,0.8349,5827.062496,216.5044914,0.105691893
80,5.960094275,40,900,19.8483009,0.8432,5793.80826,150.1852257,0.103271725
81,5.907312343,40,900,19.7007008,0.8365,5684.662614,311.8465377,0.167535924
82,5.855684234,40,900,19.7574005,0.843,5614.162612,390.6914709,0.169208833
83,5.262494143,40,900,19.7296009,1.0119,4151.06566,166.640344,0.079692389
84,5.313140418,40,900,19.5090008,1.0025,4248.629711,173.0134645,0.112333524
85,5.317519681,40,900,19.5366993,0.9936,4276.15573,173.8968488,0.141080249
86,5.460490194,40,900,19.6016006,0.967,4566.932415,237.9069785,0.123895336
87,5.465069764,40,900,19.5599003,0.9584,4576.951761,250.0179421,0.155114359
88,5.455583022,40,900,19.5447006,0.9617,4559.621819,237.4990203,0.13098009
89,5.415721394,40,900,19.6247997,0.9669,4491.454052,122.3490556,0.080452131
90,5.479442239,40,900,19.691,0.9505,4634.511084,186.9511105,0.109183174
91,5.571127162,40,900,19.6650009,0.9297,4832.486555,161.5445996,0.127520651
92,5.650119968,40,900,19.6550007,0.9063,5000.984488,119.764109,0.091223958
93,5.742541476,40,900,19.6599007,0.8938,5232.819617,210.6208096,0.113900842
94,5.717200921,40,900,19.6273994,0.88,5283.224949,261.3482716,0.126919605
95,5.868162609,40,900,19.9067001,0.8636,5547.426292,241.2878042,0.138564222
96,5.887076714,40,900,20.1147003,0.8399,5642.725122,150.8605641,0.080978302
97,5.881774799,40,900,19.9596996,0.847,5644.279144,194.6469934,0.128740926
98,5.838233334,40,900,19.843399,0.8454,5592.8388,193.6780503,0.133883326
99,5.964219687,40,900,19.7886009,0.8424,5771.814413,147.3786634,0.096752643
100,5.970739303,40,900,20.0063992,0.8394,5812.290901,229.1053113,0.10710487
101,6.04098066,40,900,20.1667995,0.8204,5977.902559,271.2542926,0.140147026
102,6.235005451,40,900,20.7709999,0.7633,6551.793857,237.9088315,0.13152264
103,6.341342089,40,900,20.6011009,0.7518,6865.284745,186.0173337,0.082839262
104,5.356499994,40,900,19.7345009,1.0022,4293.653824,180.8120759,0.096678648
105,5.468955296,40,900,19.6721001,0.9571,4614.216557,126.8655439,0.0836327
106,5.521996083,40,900,19.7252998,0.9579,4705.571426,273.2621768,0.148432235
107,5.713110223,40,900,19.8619995,0.894,5173.206601,125.4486655,0.069241034
108,5.928590112,40,900,20.1641998,0.8543,5694.154256,132.3619631,0.063414598
109,6.021682962,40,900,20.1506004,0.8342,5934.502228,316.8451279,0.155190217
110,6.028369553,40,900,20.2854996,0.8145,6050.084619,212.1672797,0.103079031
111,6.212035139,40,900,20.5842991,0.7932,6453.096685,320.1398573,0.123570557
112,6.203374597,40,900,20.5970001,0.7753,6502.237248,257.714708,0.129858721
113,6.230052299,40,900,20.5373993,0.7535,6635.653827,161.7732999,0.084301662
114,5.410972918,40,900,19.8467999,0.9713,4452.356514,130.2964612,0.065696927
115,5.48566916,40,900,19.8502007,0.9424,4673.081799,139.2598613,0.076129369
116,5.561714431,40,900,19.8822002,0.9389,4839.804988,168.3073263,0.116021277
117,6.105785818,40,900,20.2977009,0.7997,6196.843573,338.2750063,0.177447188
118,6.171423253,40,900,20.3631992,0.7948,6317.22875,234.2123943,0.128284626
119,5.784839813,40,900,20.1284008,0.8943,5315.374233,229.7763878,0.121364981
120,5.790551697,40,900,20.4202003,0.8782,5366.521739,238.2286362,0.125226894
121,5.848287511,40,900,20.3796005,0.8583,5534.403033,264.8736516,0.160419818
122,6.012371374,40,900,20.5839996,0.8236,5914.461977,172.7085705,0.065646639
123,6.031132611,40,900,20.3729992,0.8166,6046.85579,192.1507052,0.123201605
124,6.052742127,40,900,20.4221001,0.8024,6143.637774,219.1350627,0.110384726
125,6.168702988,40,900,20.5098991,0.7859,6397.359808,323.7461516,0.144543452
126,6.106637414,40,900,20.5016994,0.7824,6216.232764,357.1046445,0.188894803
127,6.235622651,40,900,20.7465,0.7614,6645.264209,280.6303319,0.14747467
128,5.772102326,40,900,20.2730999,0.8987,5253.642371,134.5820031,0.117788789
129,5.659490907,40,900,20.5450001,0.9021,5088.104945,160.3479931,0.086613706
130,6.20377652,40,900,20.6812992,0.7853,6421.876438,216.7683031,0.099318822
131,6.174707975,40,900,20.6800995,0.7827,6403.734522,231.9000317,0.12039798
132,6.219194759,40,900,20.8246994,0.7743,6500.244946,212.4383979,0.108298744
133,6.297734478,40,900,21.0172005,0.748,6733.374385,191.5572219,0.103868304
134,5.735512574,40,900,20.4783993,0.8957,5186.654412,180.1914636,0.094775299
135,5.740722466,40,900,20.6518002,0.8887,5225.282562,327.1633684,0.206338698
136,5.76888809,40,900,20.6594009,0.887,5332.335209,170.5935565,0.118542429
137,6.00076852,40,900,20.7931004,0.8158,5976.308648,322.4747561,0.171340867
138,6.133360111,40,900,20.6581993,0.7817,6365.442604,254.7915798,0.11419066
139,6.090948104,40,900,20.8553009,0.7827,6196.134315,320.8216646,0.139113324
140,6.181398394,40,900,21.0645008,0.767,6462.328027,269.0349161,0.123433245
141,5.80038406,40,900,20.718399,0.8653,5432.42307,163.50202,0.109396973
142,6.003435226,40,900,20.9421997,0.8257,5885.735312,163.3612675,0.100036407
143,5.990930683,40,900,21.0858994,0.7998,6017.539378,199.4087426,0.103330223
144,6.161034963,40,900,20.8185005,0.7803,6390.207639,270.5672789,0.127213558
145,6.213887613,40,900,20.8519993,0.7864,6469.062628,332.4618198,0.152511643
146,6.089532743,40,900,21.1175003,0.7866,6183.417722,161.6096319,0.067413063
147,6.237965417,40,900,21.2089996,0.7726,6549.701196,265.0713362,0.113810297
148,6.184889248,40,900,20.9724007,0.7752,6453.546235,233.7822562,0.132278976
149,6.148821408,40,900,21.2075996,0.7873,6274.652852,230.5483134,0.112845227
150,6.075030497,40,900,21.2733994,0.7819,6147.402424,234.8745626,0.154591626
151,6.165946536,40,900,21.3612003,0.7656,6386.570518,329.3900266,0.155374841
152,6.164918137,40,900,21.4549999,0.7565,6416.013441,223.4564617,0.097776645
153,6.229246905,40,900,21.6723003,0.74,6519.914979,199.560434,0.078348202
154,6.151320452,40,900,21.6564999,0.7536,6427.945882,216.7702736,0.09250404
155,6.138630485,40,900,21.5508003,0.7732,6363.839076,261.5205273,0.11633792
156,6.10549678,40,900,21.8918991,0.7702,6164.500323,295.8037548,0.144055526
157,6.451106891,40,900,22.1770992,0.686,7127.812169,279.0970407,0.135044204
158,6.307567595,40,900,22.0590992,0.7,6889.534579,280.6084113,0.118266444
159,6.19164527,40,900,22.6814995,0.7064,6400.880103,268.6742875,0.147057707
160,6.21758738,40,900,22.3997993,0.716,6496.929535,307.9541017,0.159928031
161,6.195171594,40,900,22.2735996,0.7262,6394.278401,300.9927408,0.145340868
162,6.156411436,40,900,22.3542995,0.729,6356.555674,276.3977029,0.12483406
163,6.204915008,40,900,22.3565006,0.7204,6458.049383,314.9810343,0.16170228
164,5.943854856,40,900,22.8421993,0.7471,5741.779267,199.3934246,0.111599265
165,5.87739425,40,900,22.9811993,0.7343,5647.580852,213.9516961,0.139837431
166,6.063713925,40,900,23.0485001,0.6882,6124.26491,318.6230781,0.13280884
167,5.80198542,40,900,23.0963993,0.7771,5280.512265,202.5825029,0.115641245
168,6.031966821,40,900,23.2287998,0.7025,5945.964478,209.5001433,0.087758753
169,5.981653514,40,900,23.1098003,0.7196,5812.575388,182.1223977,0.083260391
170,6.059613589,40,900,23.1348,0.7081,5977.758415,265.8940815,0.119864947
171,5.797606804,40,900,23.2705994,0.7335,5416.531281,180.1712016,0.070588685
172,5.466214446,40,900,24.3220005,0.7193,4586.36436,160.6015403,0.096014131
