"","PLT_CN","LAT","LON","TIME_INT"
"1","20345142010478",29.832683,-82.25153,8
"2","218218869020004",30.298842,-82.369461,13
"3","218219125020004",30.237656,-82.524226,12
"4","20350888010478",29.747995,-83.27984,6
"5","20303873010478",29.832536,-83.248534,8
"6","20286440010478",29.43473,-81.953819,7
"7","218218561020004",29.742877,-81.444166,14
"8","20330076010478",30.227281,-83.109554,7
"9","20330643010478",29.848056,-83.538334,7
"10","20330556010478",30.057547,-83.608197,6
"11","218218107020004",30.373208,-85.645587,12
"12","20294759010478",29.985793,-84.495895,6
"13","20296619010478",30.062982,-85.319212,6
"14","137163252010478",29.982011,-85.237742,5
"15","218218022020004",30.140161,-85.017075,12
"16","218218142020004",30.158232,-84.736622,12
"17","259178155010854",30.068747,-84.951363,10
"18","176860816010854",30.111493,-84.589655,8
"19","20290570010478",28.252987,-81.122303,7
"20","218218259020004",27.736602,-81.612071,13
"21","20339500010478",26.864155,-81.80287,7
"22","218218424020004",26.642425,-81.609652,11
"23","20267247010478",29.989357,-83.358008,7
"24","20279564010478",29.776255,-81.659085,8
"25","289515527489998",30.134263,-83.451548,11
"26","289515521489998",29.219774,-81.159859,12
"27","20309234010478",30.235983,-85.386023,6
"28","289515122489998",30.41079,-85.350145,13
"29","289515053489998",29.781724,-84.839391,13
"30","20322289010478",29.923215,-85.337871,5
"31","43854384020004",30.024092,-84.927744,9
"32","20264459010478",27.181201,-81.278812,7
"33","289515448489998",27.203069,-81.499849,12
"34","289516018489998",27.727747,-80.448391,13
"35","289516016489998",27.756279,-80.606558,13
"36","289515848489998",26.976192,-82.269991,11
"37","289515648489998",26.264118,-81.5775,11
"38","20268734010478",26.653727,-81.587379,5
"39","289516091489998",26.862978,-80.226781,11
"40","374861821489998",29.494833,-81.286877,12
"41","374861409489998",29.342185,-82.946217,11
"42","249673708010854",30.304966,-82.878763,6
"43","249673712010854",30.293482,-83.038891,6
"44","374861698489998",30.201872,-82.901962,13
"45","374861101489998",30.502684,-85.398236,13
"46","249673463010854",30.420348,-85.572496,7
"47","374861096489998",30.654508,-85.221025,13
"48","249673611010854",30.217621,-84.06978,7
"49","374861141489998",30.548102,-86.80319,11
"50","374861711489998",30.884353,-86.306181,11
"51","374861230489998",28.353047,-81.811415,12
"52","374862273489998",27.001146,-80.286145,11
"53","90828118010478",30.295607,-83.419014,6
"54","259178120010854",30.064243,-85.388407,8
"55","259178933010854",27.731471,-81.247735,6
"56","259179230010854",27.320185,-80.282427,7
"57","259178850010854",26.878383,-81.705752,8
"58","259178788010854",26.805476,-82.022033,5
"59","259178913010854",27.018843,-81.50249,7
"60","259179239010854",26.994393,-80.138089,7
"61","90802139010478",26.928368,-80.28248,5
"62","90802279010478",26.92855,-80.42621,5
"63","43854984020004",29.864601,-81.705221,6
"64","43854832020004",30.268712,-83.420286,6
"65","43854743020004",29.330079,-82.031324,6
"66","43854745020004",29.177308,-81.957028,6
"67","43854459020004",30.304911,-85.841225,6
"68","43854490020004",30.413242,-85.802857,6
"69","43854437020004",29.806525,-84.748165,6
"70","43855051020004",27.758992,-81.350254,6
"71","43855421020004",25.407655,-80.697138,5
"72","43855444020004",26.815601,-81.28604,5
"73","218218864020004",30.533783,-82.252103,6
"74","218218877020004",30.142881,-82.114692,7
"75","218218333020004",29.918626,-81.786154,5
"76","218219294020004",29.545695,-83.072685,6
"77","218218775020004",29.267118,-81.301171,7
"78","218218844020004",30.158415,-83.295489,6
"79","218218445020004",30.073865,-83.31094,5
"80","218218749020004",29.042864,-81.836044,5
"81","218218650020004",30.221518,-82.962715,6
"82","218218475020004",30.228713,-83.401395,7
"83","218219249020004",28.804165,-81.061537,5
"84","218218273020004",28.961841,-81.156922,5
"85","218218534020004",29.111252,-81.215088,5
"86","218218048020004",30.13866,-85.447904,5
"87","218219313020004",30.206308,-85.439309,5
"88","218218132020004",29.784557,-84.671113,6
"89","218218058020004",29.968183,-84.789076,6
"90","218219000020004",27.861067,-80.600896,5
"91","218218579020004",28.421514,-81.645919,5
"92","218218745020004",27.725235,-81.334889,6
"93","218218371020004",28.526949,-82.024668,5
"94","218218423020004",26.85702,-81.659095,5
"95","218219304020004",26.463679,-81.651807,6
"96","218219193020004",26.911896,-80.233362,5
"97","289515959489998",30.24844,-82.233093,6
"98","289515947489998",30.567731,-82.378916,6
"99","289515364489998",29.957044,-82.031996,5
"100","289515544489998",29.712765,-83.287972,6
"101","289515518489998",29.454171,-81.186143,5
"102","289515770489998",29.635033,-82.740917,5
"103","289515740489998",29.936876,-83.026333,6
"104","289515040489998",29.995211,-85.454383,6
"105","289515155489998",29.907738,-84.54454,6
"106","289515089489998",30.127169,-85.250613,7
"107","289515496489998",30.251576,-83.926927,5
"108","289515150489998",30.17527,-84.695749,6
"109","289514953489998",30.238201,-84.519751,6
"110","289516015489998",27.901477,-80.529479,5
"111","289515285489998",28.225528,-81.660558,5
"112","289515686489998",27.668473,-81.190579,6
"113","289516160489998",26.90064,-81.762238,5
"114","289515482489998",26.328545,-81.533797,5
"115","289516199489998",25.382516,-80.768006,6
"116","289515622489998",26.728433,-81.657791,6
"117","374862327489998",30.277382,-82.378479,6
"118","374861330489998",30.266891,-81.892246,7
"119","374861941489998",30.267698,-81.444262,7
"120","374861578489998",30.271526,-81.596616,7
"121","374861676489998",30.604443,-82.912796,6
"122","374861704489998",29.960836,-83.012265,6
"123","374861593489998",29.726061,-81.79894,5
"124","374861539489998",30.21171,-83.796139,5
"125","374861537489998",30.216548,-83.645514,5
"126","374861279489998",28.787191,-80.997773,7
"127","374861271489998",29.239795,-81.103877,7
"128","374860967489998",30.190868,-85.657625,6
"129","374861087489998",30.350094,-85.737042,6
"130","374860905489998",30.50614,-85.289595,6
"131","374861024489998",30.271029,-85.347552,6
"132","374861028489998",29.883184,-84.751176,7
"133","374861004489998",29.905883,-84.343006,7
"134","374861465489998",30.297002,-84.043101,5
"135","374861466489998",30.207492,-83.937726,5
"136","374862329489998",30.11845,-84.882082,7
"137","374861218489998",27.637239,-82.312047,7
"138","374862153489998",27.531817,-80.762445,6
"139","374861445489998",28.401938,-81.177486,5
"140","374861814489998",27.018762,-82.263467,5
"141","374862140489998",26.869891,-81.759364,5
"142","374861792489998",26.840036,-81.886267,6
"143","374862139489998",26.93263,-81.706853,6
"144","374861453489998",26.572221,-81.575998,6
